id,codeNaics,titleNaics2,titleNaics3,titleNaics4,titleNaics5,titleNaics6
499,32519,Other Basic Organic Chemical Manufacturing,Other Basic Organic Chemical Manufacturing,Other Basic Organic Chemical Manufacturing,Other Basic Organic Chemical Manufacturing,Other Basic Organic Chemical Manufacturing
500,325193,Ethyl Alcohol Manufacturing ,Ethyl Alcohol Manufacturing ,Ethyl Alcohol Manufacturing ,Ethyl Alcohol Manufacturing ,Ethyl Alcohol Manufacturing 
501,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ","Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ","Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ","Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ","Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing "
502,325199,All Other Basic Organic Chemical Manufacturing ,All Other Basic Organic Chemical Manufacturing ,All Other Basic Organic Chemical Manufacturing ,All Other Basic Organic Chemical Manufacturing ,All Other Basic Organic Chemical Manufacturing 
503,3252,"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing","Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing","Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing","Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing","Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing"
504,32521,Resin and Synthetic Rubber Manufacturing,Resin and Synthetic Rubber Manufacturing,Resin and Synthetic Rubber Manufacturing,Resin and Synthetic Rubber Manufacturing,Resin and Synthetic Rubber Manufacturing
505,325211,Plastics Material and Resin Manufacturing ,Plastics Material and Resin Manufacturing ,Plastics Material and Resin Manufacturing ,Plastics Material and Resin Manufacturing ,Plastics Material and Resin Manufacturing 
506,325212,Synthetic Rubber Manufacturing ,Synthetic Rubber Manufacturing ,Synthetic Rubber Manufacturing ,Synthetic Rubber Manufacturing ,Synthetic Rubber Manufacturing 
507,32522,Artificial and Synthetic Fibers and Filaments Manufacturing,Artificial and Synthetic Fibers and Filaments Manufacturing,Artificial and Synthetic Fibers and Filaments Manufacturing,Artificial and Synthetic Fibers and Filaments Manufacturing,Artificial and Synthetic Fibers and Filaments Manufacturing
508,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,Artificial and Synthetic Fibers and Filaments Manufacturing,Artificial and Synthetic Fibers and Filaments Manufacturing,Artificial and Synthetic Fibers and Filaments Manufacturing,Artificial and Synthetic Fibers and Filaments Manufacturing
509,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing","Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing","Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing","Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing","Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing"
510,32531,Fertilizer Manufacturing,Fertilizer Manufacturing,Fertilizer Manufacturing,Fertilizer Manufacturing,Fertilizer Manufacturing
511,325311,Nitrogenous Fertilizer Manufacturing ,Nitrogenous Fertilizer Manufacturing ,Nitrogenous Fertilizer Manufacturing ,Nitrogenous Fertilizer Manufacturing ,Nitrogenous Fertilizer Manufacturing 
512,325312,Phosphatic Fertilizer Manufacturing ,Phosphatic Fertilizer Manufacturing ,Phosphatic Fertilizer Manufacturing ,Phosphatic Fertilizer Manufacturing ,Phosphatic Fertilizer Manufacturing 
513,325314,Fertilizer (Mixing Only) Manufacturing ,Fertilizer (Mixing Only) Manufacturing ,Fertilizer (Mixing Only) Manufacturing ,Fertilizer (Mixing Only) Manufacturing ,Fertilizer (Mixing Only) Manufacturing 
514,32532,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing
515,325320,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing
516,3254,Pharmaceutical and Medicine Manufacturing,Pharmaceutical and Medicine Manufacturing,Pharmaceutical and Medicine Manufacturing,Pharmaceutical and Medicine Manufacturing,Pharmaceutical and Medicine Manufacturing
517,32541,Pharmaceutical and Medicine Manufacturing,Pharmaceutical and Medicine Manufacturing,Pharmaceutical and Medicine Manufacturing,Pharmaceutical and Medicine Manufacturing,Pharmaceutical and Medicine Manufacturing
518,325411,Medicinal and Botanical Manufacturing ,Medicinal and Botanical Manufacturing ,Medicinal and Botanical Manufacturing ,Medicinal and Botanical Manufacturing ,Medicinal and Botanical Manufacturing 
519,325412,Pharmaceutical Preparation Manufacturing ,Pharmaceutical Preparation Manufacturing ,Pharmaceutical Preparation Manufacturing ,Pharmaceutical Preparation Manufacturing ,Pharmaceutical Preparation Manufacturing 
520,325413,In-Vitro Diagnostic Substance Manufacturing ,In-Vitro Diagnostic Substance Manufacturing ,In-Vitro Diagnostic Substance Manufacturing ,In-Vitro Diagnostic Substance Manufacturing ,In-Vitro Diagnostic Substance Manufacturing 
521,325414,Biological Product (except Diagnostic) Manufacturing ,Biological Product (except Diagnostic) Manufacturing ,Biological Product (except Diagnostic) Manufacturing ,Biological Product (except Diagnostic) Manufacturing ,Biological Product (except Diagnostic) Manufacturing 
522,3255,"Paint, Coating, and Adhesive Manufacturing","Paint, Coating, and Adhesive Manufacturing","Paint, Coating, and Adhesive Manufacturing","Paint, Coating, and Adhesive Manufacturing","Paint, Coating, and Adhesive Manufacturing"
523,32551,Paint and Coating Manufacturing,Paint and Coating Manufacturing,Paint and Coating Manufacturing,Paint and Coating Manufacturing,Paint and Coating Manufacturing
524,325510,Paint and Coating Manufacturing,Paint and Coating Manufacturing,Paint and Coating Manufacturing,Paint and Coating Manufacturing,Paint and Coating Manufacturing
525,32552,Adhesive Manufacturing,Adhesive Manufacturing,Adhesive Manufacturing,Adhesive Manufacturing,Adhesive Manufacturing
526,325520,Adhesive Manufacturing,Adhesive Manufacturing,Adhesive Manufacturing,Adhesive Manufacturing,Adhesive Manufacturing
527,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing","Soap, Cleaning Compound, and Toilet Preparation Manufacturing","Soap, Cleaning Compound, and Toilet Preparation Manufacturing","Soap, Cleaning Compound, and Toilet Preparation Manufacturing","Soap, Cleaning Compound, and Toilet Preparation Manufacturing"
528,32561,Soap and Cleaning Compound Manufacturing,Soap and Cleaning Compound Manufacturing,Soap and Cleaning Compound Manufacturing,Soap and Cleaning Compound Manufacturing,Soap and Cleaning Compound Manufacturing
529,325611,Soap and Other Detergent Manufacturing ,Soap and Other Detergent Manufacturing ,Soap and Other Detergent Manufacturing ,Soap and Other Detergent Manufacturing ,Soap and Other Detergent Manufacturing 
530,325612,Polish and Other Sanitation Good Manufacturing ,Polish and Other Sanitation Good Manufacturing ,Polish and Other Sanitation Good Manufacturing ,Polish and Other Sanitation Good Manufacturing ,Polish and Other Sanitation Good Manufacturing 
531,325613,Surface Active Agent Manufacturing ,Surface Active Agent Manufacturing ,Surface Active Agent Manufacturing ,Surface Active Agent Manufacturing ,Surface Active Agent Manufacturing 
532,32562,Toilet Preparation Manufacturing,Toilet Preparation Manufacturing,Toilet Preparation Manufacturing,Toilet Preparation Manufacturing,Toilet Preparation Manufacturing
533,325620,Toilet Preparation Manufacturing,Toilet Preparation Manufacturing,Toilet Preparation Manufacturing,Toilet Preparation Manufacturing,Toilet Preparation Manufacturing
534,3259,Other Chemical Product and Preparation Manufacturing,Other Chemical Product and Preparation Manufacturing,Other Chemical Product and Preparation Manufacturing,Other Chemical Product and Preparation Manufacturing,Other Chemical Product and Preparation Manufacturing
535,32591,Printing Ink Manufacturing,Printing Ink Manufacturing,Printing Ink Manufacturing,Printing Ink Manufacturing,Printing Ink Manufacturing
536,325910,Printing Ink Manufacturing,Printing Ink Manufacturing,Printing Ink Manufacturing,Printing Ink Manufacturing,Printing Ink Manufacturing
537,32592,Explosives Manufacturing,Explosives Manufacturing,Explosives Manufacturing,Explosives Manufacturing,Explosives Manufacturing
538,325920,Explosives Manufacturing,Explosives Manufacturing,Explosives Manufacturing,Explosives Manufacturing,Explosives Manufacturing
539,32599,All Other Chemical Product and Preparation Manufacturing,All Other Chemical Product and Preparation Manufacturing,All Other Chemical Product and Preparation Manufacturing,All Other Chemical Product and Preparation Manufacturing,All Other Chemical Product and Preparation Manufacturing
540,325991,Custom Compounding of Purchased Resins ,Custom Compounding of Purchased Resins ,Custom Compounding of Purchased Resins ,Custom Compounding of Purchased Resins ,Custom Compounding of Purchased Resins 
541,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing ","Photographic Film, Paper, Plate, and Chemical Manufacturing ","Photographic Film, Paper, Plate, and Chemical Manufacturing ","Photographic Film, Paper, Plate, and Chemical Manufacturing ","Photographic Film, Paper, Plate, and Chemical Manufacturing "
542,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
543,326,Plastics and Rubber Products Manufacturing,Plastics and Rubber Products Manufacturing,Plastics and Rubber Products Manufacturing,Plastics and Rubber Products Manufacturing,Plastics and Rubber Products Manufacturing
544,3261,Plastics Product Manufacturing,Plastics Product Manufacturing,Plastics Product Manufacturing,Plastics Product Manufacturing,Plastics Product Manufacturing
545,32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing
546,326111,Plastics Bag and Pouch Manufacturing ,Plastics Bag and Pouch Manufacturing ,Plastics Bag and Pouch Manufacturing ,Plastics Bag and Pouch Manufacturing ,Plastics Bag and Pouch Manufacturing 
547,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Plastics Packaging Film and Sheet (including Laminated) Manufacturing 
548,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing 
549,32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing","Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing","Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing","Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing","Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing"
550,326121,Unlaminated Plastics Profile Shape Manufacturing ,Unlaminated Plastics Profile Shape Manufacturing ,Unlaminated Plastics Profile Shape Manufacturing ,Unlaminated Plastics Profile Shape Manufacturing ,Unlaminated Plastics Profile Shape Manufacturing 
551,326122,Plastics Pipe and Pipe Fitting Manufacturing ,Plastics Pipe and Pipe Fitting Manufacturing ,Plastics Pipe and Pipe Fitting Manufacturing ,Plastics Pipe and Pipe Fitting Manufacturing ,Plastics Pipe and Pipe Fitting Manufacturing 
552,32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
553,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
554,32614,Polystyrene Foam Product Manufacturing,Polystyrene Foam Product Manufacturing,Polystyrene Foam Product Manufacturing,Polystyrene Foam Product Manufacturing,Polystyrene Foam Product Manufacturing
555,326140,Polystyrene Foam Product Manufacturing,Polystyrene Foam Product Manufacturing,Polystyrene Foam Product Manufacturing,Polystyrene Foam Product Manufacturing,Polystyrene Foam Product Manufacturing
556,32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing
557,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing
558,32616,Plastics Bottle Manufacturing,Plastics Bottle Manufacturing,Plastics Bottle Manufacturing,Plastics Bottle Manufacturing,Plastics Bottle Manufacturing
559,326160,Plastics Bottle Manufacturing,Plastics Bottle Manufacturing,Plastics Bottle Manufacturing,Plastics Bottle Manufacturing,Plastics Bottle Manufacturing
560,32619,Other Plastics Product Manufacturing,Other Plastics Product Manufacturing,Other Plastics Product Manufacturing,Other Plastics Product Manufacturing,Other Plastics Product Manufacturing
561,326191,Plastics Plumbing Fixture Manufacturing ,Plastics Plumbing Fixture Manufacturing ,Plastics Plumbing Fixture Manufacturing ,Plastics Plumbing Fixture Manufacturing ,Plastics Plumbing Fixture Manufacturing 
562,326199,All Other Plastics Product Manufacturing ,All Other Plastics Product Manufacturing ,All Other Plastics Product Manufacturing ,All Other Plastics Product Manufacturing ,All Other Plastics Product Manufacturing 
563,3262,Rubber Product Manufacturing,Rubber Product Manufacturing,Rubber Product Manufacturing,Rubber Product Manufacturing,Rubber Product Manufacturing
564,32621,Tire Manufacturing,Tire Manufacturing,Tire Manufacturing,Tire Manufacturing,Tire Manufacturing
565,326211,Tire Manufacturing (except Retreading) ,Tire Manufacturing (except Retreading) ,Tire Manufacturing (except Retreading) ,Tire Manufacturing (except Retreading) ,Tire Manufacturing (except Retreading) 
566,326212,Tire Retreading ,Tire Retreading ,Tire Retreading ,Tire Retreading ,Tire Retreading 
567,32622,Rubber and Plastics Hoses and Belting Manufacturing,Rubber and Plastics Hoses and Belting Manufacturing,Rubber and Plastics Hoses and Belting Manufacturing,Rubber and Plastics Hoses and Belting Manufacturing,Rubber and Plastics Hoses and Belting Manufacturing
568,326220,Rubber and Plastics Hoses and Belting Manufacturing,Rubber and Plastics Hoses and Belting Manufacturing,Rubber and Plastics Hoses and Belting Manufacturing,Rubber and Plastics Hoses and Belting Manufacturing,Rubber and Plastics Hoses and Belting Manufacturing
569,32629,Other Rubber Product Manufacturing,Other Rubber Product Manufacturing,Other Rubber Product Manufacturing,Other Rubber Product Manufacturing,Other Rubber Product Manufacturing
570,326291,Rubber Product Manufacturing for Mechanical Use ,Rubber Product Manufacturing for Mechanical Use ,Rubber Product Manufacturing for Mechanical Use ,Rubber Product Manufacturing for Mechanical Use ,Rubber Product Manufacturing for Mechanical Use 
571,326299,All Other Rubber Product Manufacturing ,All Other Rubber Product Manufacturing ,All Other Rubber Product Manufacturing ,All Other Rubber Product Manufacturing ,All Other Rubber Product Manufacturing 
572,327,Nonmetallic Mineral Product Manufacturing,Nonmetallic Mineral Product Manufacturing,Nonmetallic Mineral Product Manufacturing,Nonmetallic Mineral Product Manufacturing,Nonmetallic Mineral Product Manufacturing
573,3271,Clay Product and Refractory Manufacturing,Clay Product and Refractory Manufacturing,Clay Product and Refractory Manufacturing,Clay Product and Refractory Manufacturing,Clay Product and Refractory Manufacturing
574,32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing","Pottery, Ceramics, and Plumbing Fixture Manufacturing","Pottery, Ceramics, and Plumbing Fixture Manufacturing","Pottery, Ceramics, and Plumbing Fixture Manufacturing","Pottery, Ceramics, and Plumbing Fixture Manufacturing"
575,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ","Pottery, Ceramics, and Plumbing Fixture Manufacturing ","Pottery, Ceramics, and Plumbing Fixture Manufacturing ","Pottery, Ceramics, and Plumbing Fixture Manufacturing ","Pottery, Ceramics, and Plumbing Fixture Manufacturing "
576,32712,Clay Building Material and Refractories Manufacturing,Clay Building Material and Refractories Manufacturing,Clay Building Material and Refractories Manufacturing,Clay Building Material and Refractories Manufacturing,Clay Building Material and Refractories Manufacturing
577,327120,Clay Building Material and Refractories Manufacturing ,Clay Building Material and Refractories Manufacturing ,Clay Building Material and Refractories Manufacturing ,Clay Building Material and Refractories Manufacturing ,Clay Building Material and Refractories Manufacturing 
578,3272,Glass and Glass Product Manufacturing,Glass and Glass Product Manufacturing,Glass and Glass Product Manufacturing,Glass and Glass Product Manufacturing,Glass and Glass Product Manufacturing
579,32721,Glass and Glass Product Manufacturing,Glass and Glass Product Manufacturing,Glass and Glass Product Manufacturing,Glass and Glass Product Manufacturing,Glass and Glass Product Manufacturing
580,327211,Flat Glass Manufacturing ,Flat Glass Manufacturing ,Flat Glass Manufacturing ,Flat Glass Manufacturing ,Flat Glass Manufacturing 
581,327212,Other Pressed and Blown Glass and Glassware Manufacturing ,Other Pressed and Blown Glass and Glassware Manufacturing ,Other Pressed and Blown Glass and Glassware Manufacturing ,Other Pressed and Blown Glass and Glassware Manufacturing ,Other Pressed and Blown Glass and Glassware Manufacturing 
582,327213,Glass Container Manufacturing ,Glass Container Manufacturing ,Glass Container Manufacturing ,Glass Container Manufacturing ,Glass Container Manufacturing 
583,327215,Glass Product Manufacturing Made of Purchased Glass ,Glass Product Manufacturing Made of Purchased Glass ,Glass Product Manufacturing Made of Purchased Glass ,Glass Product Manufacturing Made of Purchased Glass ,Glass Product Manufacturing Made of Purchased Glass 
584,3273,Cement and Concrete Product Manufacturing,Cement and Concrete Product Manufacturing,Cement and Concrete Product Manufacturing,Cement and Concrete Product Manufacturing,Cement and Concrete Product Manufacturing
585,32731,Cement Manufacturing,Cement Manufacturing,Cement Manufacturing,Cement Manufacturing,Cement Manufacturing
586,327310,Cement Manufacturing,Cement Manufacturing,Cement Manufacturing,Cement Manufacturing,Cement Manufacturing
587,32732,Ready-Mix Concrete Manufacturing,Ready-Mix Concrete Manufacturing,Ready-Mix Concrete Manufacturing,Ready-Mix Concrete Manufacturing,Ready-Mix Concrete Manufacturing
588,327320,Ready-Mix Concrete Manufacturing,Ready-Mix Concrete Manufacturing,Ready-Mix Concrete Manufacturing,Ready-Mix Concrete Manufacturing,Ready-Mix Concrete Manufacturing
589,32733,"Concrete Pipe, Brick, and Block Manufacturing","Concrete Pipe, Brick, and Block Manufacturing","Concrete Pipe, Brick, and Block Manufacturing","Concrete Pipe, Brick, and Block Manufacturing","Concrete Pipe, Brick, and Block Manufacturing"
590,327331,Concrete Block and Brick Manufacturing ,Concrete Block and Brick Manufacturing ,Concrete Block and Brick Manufacturing ,Concrete Block and Brick Manufacturing ,Concrete Block and Brick Manufacturing 
591,327332,Concrete Pipe Manufacturing ,Concrete Pipe Manufacturing ,Concrete Pipe Manufacturing ,Concrete Pipe Manufacturing ,Concrete Pipe Manufacturing 
592,32739,Other Concrete Product Manufacturing,Other Concrete Product Manufacturing,Other Concrete Product Manufacturing,Other Concrete Product Manufacturing,Other Concrete Product Manufacturing
593,327390,Other Concrete Product Manufacturing ,Other Concrete Product Manufacturing ,Other Concrete Product Manufacturing ,Other Concrete Product Manufacturing ,Other Concrete Product Manufacturing 
594,3274,Lime and Gypsum Product Manufacturing,Lime and Gypsum Product Manufacturing,Lime and Gypsum Product Manufacturing,Lime and Gypsum Product Manufacturing,Lime and Gypsum Product Manufacturing
595,32741,Lime Manufacturing,Lime Manufacturing,Lime Manufacturing,Lime Manufacturing,Lime Manufacturing
596,327410,Lime Manufacturing,Lime Manufacturing,Lime Manufacturing,Lime Manufacturing,Lime Manufacturing
597,32742,Gypsum Product Manufacturing,Gypsum Product Manufacturing,Gypsum Product Manufacturing,Gypsum Product Manufacturing,Gypsum Product Manufacturing
598,327420,Gypsum Product Manufacturing,Gypsum Product Manufacturing,Gypsum Product Manufacturing,Gypsum Product Manufacturing,Gypsum Product Manufacturing
599,3279,Other Nonmetallic Mineral Product Manufacturing,Other Nonmetallic Mineral Product Manufacturing,Other Nonmetallic Mineral Product Manufacturing,Other Nonmetallic Mineral Product Manufacturing,Other Nonmetallic Mineral Product Manufacturing
600,32791,Abrasive Product Manufacturing,Abrasive Product Manufacturing,Abrasive Product Manufacturing,Abrasive Product Manufacturing,Abrasive Product Manufacturing
601,327910,Abrasive Product Manufacturing,Abrasive Product Manufacturing,Abrasive Product Manufacturing,Abrasive Product Manufacturing,Abrasive Product Manufacturing
602,32799,All Other Nonmetallic Mineral Product Manufacturing,All Other Nonmetallic Mineral Product Manufacturing,All Other Nonmetallic Mineral Product Manufacturing,All Other Nonmetallic Mineral Product Manufacturing,All Other Nonmetallic Mineral Product Manufacturing
603,327991,Cut Stone and Stone Product Manufacturing ,Cut Stone and Stone Product Manufacturing ,Cut Stone and Stone Product Manufacturing ,Cut Stone and Stone Product Manufacturing ,Cut Stone and Stone Product Manufacturing 
604,327992,Ground or Treated Mineral and Earth Manufacturing ,Ground or Treated Mineral and Earth Manufacturing ,Ground or Treated Mineral and Earth Manufacturing ,Ground or Treated Mineral and Earth Manufacturing ,Ground or Treated Mineral and Earth Manufacturing 
605,327993,Mineral Wool Manufacturing ,Mineral Wool Manufacturing ,Mineral Wool Manufacturing ,Mineral Wool Manufacturing ,Mineral Wool Manufacturing 
606,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing 
607,331,Primary Metal Manufacturing,Primary Metal Manufacturing,Primary Metal Manufacturing,Primary Metal Manufacturing,Primary Metal Manufacturing
608,3311,Iron and Steel Mills and Ferroalloy Manufacturing,Iron and Steel Mills and Ferroalloy Manufacturing,Iron and Steel Mills and Ferroalloy Manufacturing,Iron and Steel Mills and Ferroalloy Manufacturing,Iron and Steel Mills and Ferroalloy Manufacturing
609,33111,Iron and Steel Mills and Ferroalloy Manufacturing,Iron and Steel Mills and Ferroalloy Manufacturing,Iron and Steel Mills and Ferroalloy Manufacturing,Iron and Steel Mills and Ferroalloy Manufacturing,Iron and Steel Mills and Ferroalloy Manufacturing
610,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,Iron and Steel Mills and Ferroalloy Manufacturing ,Iron and Steel Mills and Ferroalloy Manufacturing ,Iron and Steel Mills and Ferroalloy Manufacturing ,Iron and Steel Mills and Ferroalloy Manufacturing 
611,3312,Steel Product Manufacturing from Purchased Steel,Steel Product Manufacturing from Purchased Steel,Steel Product Manufacturing from Purchased Steel,Steel Product Manufacturing from Purchased Steel,Steel Product Manufacturing from Purchased Steel
612,33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
613,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
614,33122,Rolling and Drawing of Purchased Steel,Rolling and Drawing of Purchased Steel,Rolling and Drawing of Purchased Steel,Rolling and Drawing of Purchased Steel,Rolling and Drawing of Purchased Steel
615,331221,Rolled Steel Shape Manufacturing ,Rolled Steel Shape Manufacturing ,Rolled Steel Shape Manufacturing ,Rolled Steel Shape Manufacturing ,Rolled Steel Shape Manufacturing 
616,331222,Steel Wire Drawing ,Steel Wire Drawing ,Steel Wire Drawing ,Steel Wire Drawing ,Steel Wire Drawing 
617,3313,Alumina and Aluminum Production and Processing,Alumina and Aluminum Production and Processing,Alumina and Aluminum Production and Processing,Alumina and Aluminum Production and Processing,Alumina and Aluminum Production and Processing
618,33131,Alumina and Aluminum Production and Processing,Alumina and Aluminum Production and Processing,Alumina and Aluminum Production and Processing,Alumina and Aluminum Production and Processing,Alumina and Aluminum Production and Processing
619,331313,Alumina Refining and Primary Aluminum Production ,Alumina Refining and Primary Aluminum Production ,Alumina Refining and Primary Aluminum Production ,Alumina Refining and Primary Aluminum Production ,Alumina Refining and Primary Aluminum Production 
620,331314,Secondary Smelting and Alloying of Aluminum ,Secondary Smelting and Alloying of Aluminum ,Secondary Smelting and Alloying of Aluminum ,Secondary Smelting and Alloying of Aluminum ,Secondary Smelting and Alloying of Aluminum 
621,331315,"Aluminum Sheet, Plate, and Foil Manufacturing ","Aluminum Sheet, Plate, and Foil Manufacturing ","Aluminum Sheet, Plate, and Foil Manufacturing ","Aluminum Sheet, Plate, and Foil Manufacturing ","Aluminum Sheet, Plate, and Foil Manufacturing "
622,331318,"Other Aluminum Rolling, Drawing, and Extruding ","Other Aluminum Rolling, Drawing, and Extruding ","Other Aluminum Rolling, Drawing, and Extruding ","Other Aluminum Rolling, Drawing, and Extruding ","Other Aluminum Rolling, Drawing, and Extruding "
623,3314,Nonferrous Metal (except Aluminum) Production and Processing,Nonferrous Metal (except Aluminum) Production and Processing,Nonferrous Metal (except Aluminum) Production and Processing,Nonferrous Metal (except Aluminum) Production and Processing,Nonferrous Metal (except Aluminum) Production and Processing
624,33141,Nonferrous Metal (except Aluminum) Smelting and Refining,Nonferrous Metal (except Aluminum) Smelting and Refining,Nonferrous Metal (except Aluminum) Smelting and Refining,Nonferrous Metal (except Aluminum) Smelting and Refining,Nonferrous Metal (except Aluminum) Smelting and Refining
625,331410,Nonferrous Metal (except Aluminum) Smelting and Refining ,Nonferrous Metal (except Aluminum) Smelting and Refining ,Nonferrous Metal (except Aluminum) Smelting and Refining ,Nonferrous Metal (except Aluminum) Smelting and Refining ,Nonferrous Metal (except Aluminum) Smelting and Refining 
626,33142,"Copper Rolling, Drawing, Extruding, and Alloying","Copper Rolling, Drawing, Extruding, and Alloying","Copper Rolling, Drawing, Extruding, and Alloying","Copper Rolling, Drawing, Extruding, and Alloying","Copper Rolling, Drawing, Extruding, and Alloying"
627,331420,"Copper Rolling, Drawing, Extruding, and Alloying","Copper Rolling, Drawing, Extruding, and Alloying","Copper Rolling, Drawing, Extruding, and Alloying","Copper Rolling, Drawing, Extruding, and Alloying","Copper Rolling, Drawing, Extruding, and Alloying"
628,33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying"
